name,url
Nhạc Trẻ,https://www.nhaccuatui.com/bai-hat/nhac-tre-moi.html
Trữ Tình,https://www.nhaccuatui.com/bai-hat/tru-tinh-moi.html
Remix Việt,https://www.nhaccuatui.com/bai-hat/remix-viet-moi.html
Rap Việt,https://www.nhaccuatui.com/bai-hat/rap-viet-moi.html
Tiền Chiến,https://www.nhaccuatui.com/bai-hat/tien-chien-moi.html
Nhạc Trịnh,https://www.nhaccuatui.com/bai-hat/nhac-trinh-moi.html
Rock Việt,https://www.nhaccuatui.com/bai-hat/rock-viet-moi.html
Cách Mạng,https://www.nhaccuatui.com/bai-hat/cach-mang-moi.html
Pop,https://www.nhaccuatui.com/bai-hat/pop-moi.html
Rock,https://www.nhaccuatui.com/bai-hat/rock-moi.html
Electronica/Dance,https://www.nhaccuatui.com/bai-hat/electronicadance-moi.html
R&B/Hip Hop/Rap,https://www.nhaccuatui.com/bai-hat/rbhip-hoprap-moi.html
Blues/Jazz,https://www.nhaccuatui.com/bai-hat/bluesjazz-moi.html
Country,https://www.nhaccuatui.com/bai-hat/country-moi.html
Latin,https://www.nhaccuatui.com/bai-hat/latin-moi.html
Nhạc Hàn,https://www.nhaccuatui.com/bai-hat/nhac-han-moi.html
Nhạc Hoa,https://www.nhaccuatui.com/bai-hat/nhac-hoa-moi.html
Nhạc Nhật,https://www.nhaccuatui.com/bai-hat/nhac-nhat-moi.html
Nhạc Thái,https://www.nhaccuatui.com/bai-hat/nhac-thai-moi.html
Thiếu Nhi,https://www.nhaccuatui.com/bai-hat/thieu-nhi-moi.html
Không Lời,https://www.nhaccuatui.com/bai-hat/khong-loi-moi.html
Beat,https://www.nhaccuatui.com/bai-hat/beat-moi.html
,
